acc:0.1669254658385093,best_acc:0
acc:0.05434782608695652,best_acc:0.1669254658385093
acc:0.052795031055900624,best_acc:0.1669254658385093
acc:0.21661490683229812,best_acc:0.1669254658385093
acc:0.30046583850931674,best_acc:0.21661490683229812
acc:0.36257763975155277,best_acc:0.30046583850931674
acc:0.42158385093167705,best_acc:0.36257763975155277
acc:0.45962732919254656,best_acc:0.42158385093167705
acc:0.4937888198757764,best_acc:0.45962732919254656
acc:0.5,best_acc:0.4937888198757764
acc:0.5116459627329193,best_acc:0.5
acc:0.5209627329192547,best_acc:0.5116459627329193
acc:0.5240683229813665,best_acc:0.5209627329192547
acc:0.5232919254658385,best_acc:0.5240683229813665
acc:0.5248447204968945,best_acc:0.5240683229813665
acc:0.5256211180124224,best_acc:0.5248447204968945
acc:0.5349378881987578,best_acc:0.5256211180124224
acc:0.5341614906832297,best_acc:0.5349378881987578
acc:0.5395962732919255,best_acc:0.5349378881987578
acc:0.5403726708074534,best_acc:0.5395962732919255
acc:0.545807453416149,best_acc:0.5403726708074534
acc:0.5527950310559007,best_acc:0.545807453416149
acc:0.5559006211180124,best_acc:0.5527950310559007
acc:0.5559006211180124,best_acc:0.5559006211180124
acc:0.5543478260869565,best_acc:0.5559006211180124
acc:0.5551242236024845,best_acc:0.5559006211180124
acc:0.5551242236024845,best_acc:0.5559006211180124
acc:0.5574534161490683,best_acc:0.5559006211180124
acc:0.5590062111801242,best_acc:0.5574534161490683
acc:0.562888198757764,best_acc:0.5590062111801242
acc:0.5652173913043479,best_acc:0.562888198757764
acc:0.5675465838509317,best_acc:0.5652173913043479
acc:0.5613354037267081,best_acc:0.5675465838509317
acc:0.562888198757764,best_acc:0.5675465838509317
acc:0.5683229813664596,best_acc:0.5675465838509317
acc:0.5659937888198758,best_acc:0.5683229813664596
acc:0.5652173913043479,best_acc:0.5683229813664596
acc:0.563664596273292,best_acc:0.5683229813664596
acc:0.5683229813664596,best_acc:0.5683229813664596
acc:0.5745341614906831,best_acc:0.5683229813664596
acc:0.5729813664596273,best_acc:0.5745341614906831
acc:0.5768633540372671,best_acc:0.5745341614906831
acc:0.5768633540372671,best_acc:0.5768633540372671
acc:0.5807453416149069,best_acc:0.5768633540372671
acc:0.5807453416149069,best_acc:0.5807453416149069
acc:0.5830745341614907,best_acc:0.5807453416149069
acc:0.5822981366459627,best_acc:0.5830745341614907
acc:0.5846273291925466,best_acc:0.5830745341614907
acc:0.5846273291925466,best_acc:0.5846273291925466
acc:0.5846273291925466,best_acc:0.5846273291925466
acc:0.5885093167701864,best_acc:0.5846273291925466
acc:0.5885093167701863,best_acc:0.5885093167701864
acc:0.5900621118012422,best_acc:0.5885093167701864
acc:0.5900621118012422,best_acc:0.5900621118012422
acc:0.5885093167701864,best_acc:0.5900621118012422
acc:0.5892857142857142,best_acc:0.5900621118012422
acc:0.5908385093167702,best_acc:0.5900621118012422
acc:0.5900621118012422,best_acc:0.5908385093167702
acc:0.5892857142857142,best_acc:0.5908385093167702
acc:0.5916149068322981,best_acc:0.5908385093167702
acc:0.5923913043478262,best_acc:0.5916149068322981
acc:0.5978260869565217,best_acc:0.5923913043478262
acc:0.5993788819875776,best_acc:0.5978260869565217
acc:0.5970496894409938,best_acc:0.5993788819875776
acc:0.5962732919254659,best_acc:0.5993788819875776
acc:0.5978260869565217,best_acc:0.5993788819875776
acc:0.5993788819875776,best_acc:0.5993788819875776
acc:0.5993788819875776,best_acc:0.5993788819875776
acc:0.5954968944099379,best_acc:0.5993788819875776
acc:0.593944099378882,best_acc:0.5993788819875776
acc:0.5954968944099379,best_acc:0.5993788819875776
acc:0.593167701863354,best_acc:0.5993788819875776
acc:0.592391304347826,best_acc:0.5993788819875776
acc:0.593167701863354,best_acc:0.5993788819875776
acc:0.5954968944099379,best_acc:0.5993788819875776
acc:0.5993788819875776,best_acc:0.5993788819875776
acc:0.6001552795031055,best_acc:0.5993788819875776
acc:0.6009316770186335,best_acc:0.6001552795031055
acc:0.6024844720496894,best_acc:0.6009316770186335
acc:0.6009316770186335,best_acc:0.6024844720496894
acc:0.6017080745341614,best_acc:0.6024844720496894
acc:0.6032608695652174,best_acc:0.6024844720496894
acc:0.6048136645962733,best_acc:0.6032608695652174
acc:0.6040372670807453,best_acc:0.6048136645962733
acc:0.6009316770186336,best_acc:0.6048136645962733
acc:0.5993788819875776,best_acc:0.6048136645962733
acc:0.6009316770186336,best_acc:0.6048136645962733
acc:0.6009316770186335,best_acc:0.6048136645962733
acc:0.6001552795031055,best_acc:0.6048136645962733
acc:0.6001552795031055,best_acc:0.6048136645962733
acc:0.6009316770186335,best_acc:0.6048136645962733
acc:0.6009316770186335,best_acc:0.6048136645962733
acc:0.6032608695652174,best_acc:0.6048136645962733
acc:0.6024844720496895,best_acc:0.6048136645962733
acc:0.6024844720496895,best_acc:0.6048136645962733
acc:0.6024844720496895,best_acc:0.6048136645962733
acc:0.6024844720496895,best_acc:0.6048136645962733
acc:0.6024844720496895,best_acc:0.6048136645962733
acc:0.6024844720496895,best_acc:0.6048136645962733
TEST:  acc:0.6009316770186335
