acc:0.1972049689440994,best_acc:0
acc:0.07919254658385094,best_acc:0.1972049689440994
acc:0.053571428571428575,best_acc:0.1972049689440994
acc:0.17934782608695654,best_acc:0.1972049689440994
acc:0.28493788819875776,best_acc:0.1972049689440994
acc:0.3812111801242236,best_acc:0.28493788819875776
acc:0.43167701863354035,best_acc:0.3812111801242236
acc:0.4588509316770186,best_acc:0.43167701863354035
acc:0.47127329192546585,best_acc:0.4588509316770186
acc:0.49068322981366463,best_acc:0.47127329192546585
acc:0.4937888198757764,best_acc:0.49068322981366463
acc:0.5062111801242236,best_acc:0.4937888198757764
acc:0.5209627329192547,best_acc:0.5062111801242236
acc:0.5333850931677019,best_acc:0.5209627329192547
acc:0.5240683229813665,best_acc:0.5333850931677019
acc:0.5450310559006211,best_acc:0.5333850931677019
acc:0.5566770186335404,best_acc:0.5450310559006211
acc:0.5559006211180124,best_acc:0.5566770186335404
acc:0.56055900621118,best_acc:0.5566770186335404
acc:0.5667701863354038,best_acc:0.56055900621118
acc:0.5722049689440993,best_acc:0.5667701863354038
acc:0.5698757763975155,best_acc:0.5722049689440993
acc:0.5714285714285714,best_acc:0.5722049689440993
acc:0.5799689440993789,best_acc:0.5722049689440993
acc:0.5830745341614907,best_acc:0.5799689440993789
acc:0.5799689440993789,best_acc:0.5830745341614907
acc:0.5815217391304348,best_acc:0.5830745341614907
acc:0.5854037267080745,best_acc:0.5830745341614907
acc:0.5962732919254659,best_acc:0.5854037267080745
acc:0.5978260869565217,best_acc:0.5962732919254659
acc:0.5908385093167703,best_acc:0.5978260869565217
acc:0.5916149068322981,best_acc:0.5978260869565217
acc:0.6032608695652173,best_acc:0.5978260869565217
acc:0.5954968944099379,best_acc:0.6032608695652173
acc:0.5978260869565217,best_acc:0.6032608695652173
acc:0.6040372670807453,best_acc:0.6032608695652173
acc:0.6086956521739131,best_acc:0.6040372670807453
acc:0.6086956521739131,best_acc:0.6086956521739131
acc:0.6063664596273292,best_acc:0.6086956521739131
acc:0.6048136645962733,best_acc:0.6086956521739131
acc:0.6048136645962733,best_acc:0.6086956521739131
acc:0.6063664596273293,best_acc:0.6086956521739131
acc:0.6024844720496894,best_acc:0.6086956521739131
acc:0.6086956521739131,best_acc:0.6086956521739131
acc:0.6180124223602484,best_acc:0.6086956521739131
acc:0.6172360248447205,best_acc:0.6180124223602484
acc:0.6110248447204969,best_acc:0.6180124223602484
acc:0.6164596273291925,best_acc:0.6180124223602484
acc:0.6156832298136646,best_acc:0.6180124223602484
acc:0.625,best_acc:0.6180124223602484
acc:0.6281055900621118,best_acc:0.625
acc:0.6172360248447205,best_acc:0.6281055900621118
acc:0.6172360248447205,best_acc:0.6281055900621118
acc:0.6226708074534162,best_acc:0.6281055900621118
acc:0.6211180124223603,best_acc:0.6281055900621118
acc:0.6172360248447204,best_acc:0.6281055900621118
acc:0.625,best_acc:0.6281055900621118
acc:0.6242236024844721,best_acc:0.6281055900621118
acc:0.625,best_acc:0.6281055900621118
acc:0.6218944099378882,best_acc:0.6281055900621118
acc:0.6273291925465838,best_acc:0.6281055900621118
acc:0.6281055900621118,best_acc:0.6281055900621118
acc:0.6257763975155279,best_acc:0.6281055900621118
acc:0.6234472049689441,best_acc:0.6281055900621118
acc:0.6281055900621118,best_acc:0.6281055900621118
acc:0.625,best_acc:0.6281055900621118
acc:0.6226708074534162,best_acc:0.6281055900621118
acc:0.6211180124223603,best_acc:0.6281055900621118
acc:0.6211180124223603,best_acc:0.6281055900621118
acc:0.6195652173913043,best_acc:0.6281055900621118
acc:0.6218944099378882,best_acc:0.6281055900621118
acc:0.6218944099378882,best_acc:0.6281055900621118
acc:0.6242236024844721,best_acc:0.6281055900621118
acc:0.6242236024844721,best_acc:0.6281055900621118
acc:0.625,best_acc:0.6281055900621118
acc:0.6218944099378882,best_acc:0.6281055900621118
acc:0.6257763975155279,best_acc:0.6281055900621118
acc:0.6226708074534162,best_acc:0.6281055900621118
acc:0.6226708074534162,best_acc:0.6281055900621118
acc:0.6226708074534162,best_acc:0.6281055900621118
acc:0.6234472049689441,best_acc:0.6281055900621118
TEST:  acc:0.6218944099378882
