acc:0.21972049689440992,best_acc:0
acc:0.04503105590062112,best_acc:0.21972049689440992
acc:0.09083850931677018,best_acc:0.21972049689440992
acc:0.2950310559006211,best_acc:0.21972049689440992
acc:0.3330745341614907,best_acc:0.2950310559006211
acc:0.3687888198757764,best_acc:0.3330745341614907
acc:0.3913043478260869,best_acc:0.3687888198757764
acc:0.3928571428571429,best_acc:0.3913043478260869
acc:0.40760869565217395,best_acc:0.3928571428571429
acc:0.41226708074534163,best_acc:0.40760869565217395
acc:0.4262422360248447,best_acc:0.41226708074534163
acc:0.4262422360248447,best_acc:0.4262422360248447
acc:0.4277950310559006,best_acc:0.4262422360248447
