acc:0.23835403726708074,best_acc:0
acc:0.24068322981366458,best_acc:0.23835403726708074
acc:0.2701863354037267,best_acc:0.24068322981366458
acc:0.32065217391304346,best_acc:0.2701863354037267
acc:0.37888198757763975,best_acc:0.32065217391304346
acc:0.40372670807453415,best_acc:0.37888198757763975
acc:0.43788819875776397,best_acc:0.40372670807453415
acc:0.4518633540372671,best_acc:0.43788819875776397
acc:0.47437888198757766,best_acc:0.4518633540372671
acc:0.4922360248447205,best_acc:0.47437888198757766
acc:0.5093167701863355,best_acc:0.4922360248447205
acc:0.5139751552795031,best_acc:0.5093167701863355
acc:0.5170807453416149,best_acc:0.5139751552795031
acc:0.5139751552795031,best_acc:0.5170807453416149
acc:0.5131987577639752,best_acc:0.5170807453416149
acc:0.5046583850931677,best_acc:0.5170807453416149
acc:0.48524844720496896,best_acc:0.5170807453416149
acc:0.4805900621118012,best_acc:0.5170807453416149
acc:0.49922360248447206,best_acc:0.5170807453416149
acc:0.5085403726708075,best_acc:0.5170807453416149
acc:0.5124223602484472,best_acc:0.5170807453416149
acc:0.5093167701863355,best_acc:0.5170807453416149
acc:0.5139751552795031,best_acc:0.5170807453416149
acc:0.5248447204968945,best_acc:0.5170807453416149
acc:0.53027950310559,best_acc:0.5248447204968945
acc:0.5341614906832298,best_acc:0.53027950310559
acc:0.5248447204968945,best_acc:0.5341614906832298
acc:0.5256211180124224,best_acc:0.5341614906832298
acc:0.5333850931677018,best_acc:0.5341614906832298
acc:0.5380434782608696,best_acc:0.5341614906832298
acc:0.5380434782608696,best_acc:0.5380434782608696
acc:0.5341614906832298,best_acc:0.5380434782608696
acc:0.5364906832298137,best_acc:0.5380434782608696
acc:0.5395962732919255,best_acc:0.5380434782608696
acc:0.5411490683229814,best_acc:0.5395962732919255
acc:0.5442546583850931,best_acc:0.5411490683229814
acc:0.5442546583850931,best_acc:0.5442546583850931
acc:0.545807453416149,best_acc:0.5442546583850931
acc:0.5450310559006211,best_acc:0.545807453416149
acc:0.5442546583850931,best_acc:0.545807453416149
acc:0.5504658385093167,best_acc:0.545807453416149
acc:0.5465838509316769,best_acc:0.5504658385093167
acc:0.5520186335403727,best_acc:0.5504658385093167
acc:0.5535714285714286,best_acc:0.5520186335403727
acc:0.5535714285714286,best_acc:0.5535714285714286
acc:0.5496894409937888,best_acc:0.5535714285714286
acc:0.5535714285714286,best_acc:0.5535714285714286
acc:0.5496894409937888,best_acc:0.5535714285714286
acc:0.5527950310559007,best_acc:0.5535714285714286
acc:0.5535714285714286,best_acc:0.5535714285714286
acc:0.5512422360248448,best_acc:0.5535714285714286
acc:0.5512422360248447,best_acc:0.5535714285714286
acc:0.5559006211180124,best_acc:0.5535714285714286
acc:0.5566770186335404,best_acc:0.5559006211180124
acc:0.5520186335403727,best_acc:0.5566770186335404
acc:0.5535714285714286,best_acc:0.5566770186335404
acc:0.5535714285714286,best_acc:0.5566770186335404
acc:0.5566770186335404,best_acc:0.5566770186335404
acc:0.5582298136645962,best_acc:0.5566770186335404
acc:0.5582298136645962,best_acc:0.5582298136645962
acc:0.5636645962732919,best_acc:0.5582298136645962
acc:0.5652173913043479,best_acc:0.5636645962732919
acc:0.5636645962732919,best_acc:0.5652173913043479
acc:0.56055900621118,best_acc:0.5652173913043479
acc:0.5597826086956522,best_acc:0.5652173913043479
acc:0.5613354037267081,best_acc:0.5652173913043479
acc:0.563664596273292,best_acc:0.5652173913043479
acc:0.56444099378882,best_acc:0.5652173913043479
acc:0.5652173913043479,best_acc:0.5652173913043479
acc:0.563664596273292,best_acc:0.5652173913043479
acc:0.5683229813664596,best_acc:0.5652173913043479
acc:0.5729813664596273,best_acc:0.5683229813664596
acc:0.5745341614906831,best_acc:0.5729813664596273
acc:0.5698757763975155,best_acc:0.5745341614906831
acc:0.5690993788819876,best_acc:0.5745341614906831
acc:0.5698757763975155,best_acc:0.5745341614906831
acc:0.5706521739130435,best_acc:0.5745341614906831
acc:0.5698757763975155,best_acc:0.5745341614906831
acc:0.5722049689440993,best_acc:0.5745341614906831
acc:0.5722049689440993,best_acc:0.5745341614906831
acc:0.5714285714285714,best_acc:0.5745341614906831
acc:0.5706521739130435,best_acc:0.5745341614906831
acc:0.5690993788819876,best_acc:0.5745341614906831
acc:0.5698757763975155,best_acc:0.5745341614906831
acc:0.5722049689440993,best_acc:0.5745341614906831
acc:0.5722049689440993,best_acc:0.5745341614906831
acc:0.5737577639751552,best_acc:0.5745341614906831
acc:0.5737577639751552,best_acc:0.5745341614906831
acc:0.5745341614906833,best_acc:0.5745341614906831
acc:0.5745341614906831,best_acc:0.5745341614906833
acc:0.5745341614906831,best_acc:0.5745341614906833
acc:0.5745341614906831,best_acc:0.5745341614906833
acc:0.5745341614906831,best_acc:0.5745341614906833
acc:0.5745341614906831,best_acc:0.5745341614906833
acc:0.5745341614906831,best_acc:0.5745341614906833
acc:0.5745341614906831,best_acc:0.5745341614906833
acc:0.5745341614906831,best_acc:0.5745341614906833
acc:0.5745341614906831,best_acc:0.5745341614906833
acc:0.5745341614906831,best_acc:0.5745341614906833
acc:0.5745341614906831,best_acc:0.5745341614906833
TEST:  acc:0.5885093167701864
