acc:0.2328767123287671,best_acc:0
acc:0.08561643835616438,best_acc:0.2328767123287671
acc:0.033105022831050226,best_acc:0.2328767123287671
acc:0.033105022831050226,best_acc:0.2328767123287671
acc:0.04223744292237443,best_acc:0.2328767123287671
acc:0.1678082191780822,best_acc:0.2328767123287671
acc:0.3287671232876712,best_acc:0.2328767123287671
acc:0.3493150684931507,best_acc:0.3287671232876712
acc:0.3641552511415525,best_acc:0.3493150684931507
acc:0.3618721461187214,best_acc:0.3641552511415525
acc:0.36757990867579904,best_acc:0.3641552511415525
acc:0.3824200913242009,best_acc:0.36757990867579904
acc:0.4143835616438356,best_acc:0.3824200913242009
acc:0.454337899543379,best_acc:0.4143835616438356
acc:0.4748858447488584,best_acc:0.454337899543379
acc:0.4817351598173516,best_acc:0.4748858447488584
acc:0.4931506849315068,best_acc:0.4817351598173516
acc:0.497716894977169,best_acc:0.4931506849315068
acc:0.5022831050228311,best_acc:0.497716894977169
acc:0.4988584474885845,best_acc:0.5022831050228311
acc:0.5,best_acc:0.5022831050228311
acc:0.5034246575342466,best_acc:0.5022831050228311
acc:0.504566210045662,best_acc:0.5034246575342466
acc:0.5102739726027397,best_acc:0.504566210045662
acc:0.5125570776255708,best_acc:0.5102739726027397
acc:0.5159817351598174,best_acc:0.5125570776255708
acc:0.5159817351598174,best_acc:0.5159817351598174
acc:0.519406392694064,best_acc:0.5159817351598174
acc:0.523972602739726,best_acc:0.519406392694064
acc:0.519406392694064,best_acc:0.523972602739726
acc:0.519406392694064,best_acc:0.523972602739726
acc:0.5228310502283104,best_acc:0.523972602739726
acc:0.5228310502283104,best_acc:0.523972602739726
acc:0.519406392694064,best_acc:0.523972602739726
acc:0.5228310502283104,best_acc:0.523972602739726
acc:0.5285388127853881,best_acc:0.523972602739726
acc:0.5388127853881279,best_acc:0.5285388127853881
acc:0.5422374429223744,best_acc:0.5388127853881279
acc:0.54337899543379,best_acc:0.5422374429223744
acc:0.545662100456621,best_acc:0.54337899543379
acc:0.5468036529680366,best_acc:0.545662100456621
acc:0.5502283105022832,best_acc:0.5468036529680366
acc:0.5445205479452055,best_acc:0.5502283105022832
acc:0.5445205479452055,best_acc:0.5502283105022832
acc:0.541095890410959,best_acc:0.5502283105022832
acc:0.5388127853881278,best_acc:0.5502283105022832
