acc:0.2220496894409938,best_acc:0
acc:0.1607142857142857,best_acc:0.2220496894409938
acc:0.10093167701863354,best_acc:0.2220496894409938
acc:0.046583850931677016,best_acc:0.2220496894409938
acc:0.07065217391304349,best_acc:0.2220496894409938
acc:0.15683229813664595,best_acc:0.2220496894409938
acc:0.2593167701863354,best_acc:0.2220496894409938
acc:0.3586956521739131,best_acc:0.2593167701863354
acc:0.42701863354037267,best_acc:0.3586956521739131
acc:0.46350931677018636,best_acc:0.42701863354037267
acc:0.48680124223602483,best_acc:0.46350931677018636
acc:0.4976708074534162,best_acc:0.48680124223602483
acc:0.5093167701863354,best_acc:0.4976708074534162
acc:0.5194099378881988,best_acc:0.5093167701863354
acc:0.5240683229813665,best_acc:0.5194099378881988
acc:0.5240683229813665,best_acc:0.5240683229813665
acc:0.5225155279503105,best_acc:0.5240683229813665
acc:0.5248447204968945,best_acc:0.5240683229813665
acc:0.5240683229813665,best_acc:0.5248447204968945
acc:0.5372670807453416,best_acc:0.5248447204968945
acc:0.5442546583850931,best_acc:0.5372670807453416
acc:0.5559006211180124,best_acc:0.5442546583850931
acc:0.5520186335403727,best_acc:0.5559006211180124
acc:0.5636645962732919,best_acc:0.5559006211180124
acc:0.5582298136645962,best_acc:0.5636645962732919
acc:0.562888198757764,best_acc:0.5636645962732919
acc:0.5597826086956521,best_acc:0.5636645962732919
acc:0.56444099378882,best_acc:0.5636645962732919
acc:0.5675465838509317,best_acc:0.56444099378882
acc:0.5675465838509317,best_acc:0.5675465838509317
acc:0.562111801242236,best_acc:0.5675465838509317
acc:0.5745341614906831,best_acc:0.5675465838509317
acc:0.5799689440993789,best_acc:0.5745341614906831
acc:0.5799689440993789,best_acc:0.5799689440993789
acc:0.5784161490683231,best_acc:0.5799689440993789
acc:0.5768633540372671,best_acc:0.5799689440993789
acc:0.5745341614906833,best_acc:0.5799689440993789
acc:0.578416149068323,best_acc:0.5799689440993789
acc:0.5807453416149069,best_acc:0.5799689440993789
acc:0.579192546583851,best_acc:0.5807453416149069
acc:0.5753105590062112,best_acc:0.5807453416149069
acc:0.5807453416149069,best_acc:0.5807453416149069
acc:0.5753105590062112,best_acc:0.5807453416149069
acc:0.5846273291925466,best_acc:0.5807453416149069
acc:0.592391304347826,best_acc:0.5846273291925466
acc:0.5877329192546584,best_acc:0.592391304347826
acc:0.5892857142857142,best_acc:0.592391304347826
acc:0.5892857142857143,best_acc:0.592391304347826
acc:0.5846273291925466,best_acc:0.592391304347826
acc:0.5892857142857142,best_acc:0.592391304347826
acc:0.5962732919254659,best_acc:0.592391304347826
acc:0.5978260869565217,best_acc:0.5962732919254659
acc:0.5954968944099379,best_acc:0.5978260869565217
acc:0.5962732919254659,best_acc:0.5978260869565217
acc:0.6009316770186335,best_acc:0.5978260869565217
acc:0.6040372670807453,best_acc:0.6009316770186335
acc:0.6001552795031055,best_acc:0.6040372670807453
acc:0.6040372670807453,best_acc:0.6040372670807453
acc:0.6040372670807453,best_acc:0.6040372670807453
acc:0.5978260869565217,best_acc:0.6040372670807453
acc:0.6001552795031055,best_acc:0.6040372670807453
acc:0.6009316770186335,best_acc:0.6040372670807453
acc:0.6024844720496894,best_acc:0.6040372670807453
acc:0.5954968944099379,best_acc:0.6040372670807453
acc:0.5993788819875776,best_acc:0.6040372670807453
acc:0.6017080745341614,best_acc:0.6040372670807453
acc:0.5954968944099379,best_acc:0.6040372670807453
acc:0.5993788819875776,best_acc:0.6040372670807453
acc:0.5962732919254659,best_acc:0.6040372670807453
acc:0.5954968944099379,best_acc:0.6040372670807453
acc:0.6001552795031055,best_acc:0.6040372670807453
acc:0.6032608695652174,best_acc:0.6040372670807453
acc:0.6009316770186335,best_acc:0.6040372670807453
acc:0.5978260869565217,best_acc:0.6040372670807453
acc:0.5993788819875776,best_acc:0.6040372670807453
TEST:  acc:0.5993788819875776
