acc:0.22488584474885845,best_acc:0
acc:0.1324200913242009,best_acc:0.22488584474885845
acc:0.05136986301369863,best_acc:0.22488584474885845
acc:0.03995433789954338,best_acc:0.22488584474885845
acc:0.03995433789954338,best_acc:0.22488584474885845
acc:0.0410958904109589,best_acc:0.22488584474885845
acc:0.0410958904109589,best_acc:0.22488584474885845
acc:0.05821917808219178,best_acc:0.22488584474885845
acc:0.0958904109589041,best_acc:0.22488584474885845
acc:0.16210045662100456,best_acc:0.22488584474885845
acc:0.21689497716894976,best_acc:0.22488584474885845
acc:0.2237442922374429,best_acc:0.22488584474885845
acc:0.23401826484018262,best_acc:0.22488584474885845
acc:0.2705479452054794,best_acc:0.23401826484018262
acc:0.3664383561643836,best_acc:0.2705479452054794
acc:0.45662100456621,best_acc:0.3664383561643836
acc:0.4794520547945206,best_acc:0.45662100456621
acc:0.5034246575342466,best_acc:0.4794520547945206
acc:0.5399543378995434,best_acc:0.5034246575342466
acc:0.5525114155251141,best_acc:0.5399543378995434
acc:0.5582191780821918,best_acc:0.5525114155251141
acc:0.5639269406392694,best_acc:0.5582191780821918
acc:0.569634703196347,best_acc:0.5639269406392694
acc:0.5844748858447488,best_acc:0.569634703196347
acc:0.591324200913242,best_acc:0.5844748858447488
acc:0.5924657534246576,best_acc:0.591324200913242
acc:0.5970319634703196,best_acc:0.5924657534246576
acc:0.6050228310502284,best_acc:0.5970319634703196
acc:0.6084474885844748,best_acc:0.6050228310502284
acc:0.6095890410958904,best_acc:0.6084474885844748
acc:0.6210045662100456,best_acc:0.6095890410958904
acc:0.6312785388127854,best_acc:0.6210045662100456
acc:0.6335616438356164,best_acc:0.6312785388127854
acc:0.632420091324201,best_acc:0.6335616438356164
acc:0.6335616438356164,best_acc:0.6335616438356164
acc:0.6335616438356164,best_acc:0.6335616438356164
acc:0.6312785388127854,best_acc:0.6335616438356164
acc:0.6289954337899544,best_acc:0.6335616438356164
acc:0.6301369863013699,best_acc:0.6335616438356164
acc:0.6244292237442922,best_acc:0.6335616438356164
acc:0.6312785388127854,best_acc:0.6335616438356164
acc:0.6335616438356164,best_acc:0.6335616438356164
acc:0.6358447488584476,best_acc:0.6335616438356164
acc:0.6335616438356164,best_acc:0.6358447488584476
acc:0.6312785388127854,best_acc:0.6358447488584476
acc:0.6278538812785388,best_acc:0.6358447488584476
acc:0.6267123287671232,best_acc:0.6358447488584476
acc:0.6244292237442922,best_acc:0.6358447488584476
acc:0.6210045662100456,best_acc:0.6358447488584476
acc:0.6267123287671232,best_acc:0.6358447488584476
acc:0.6278538812785388,best_acc:0.6358447488584476
acc:0.6267123287671232,best_acc:0.6358447488584476
acc:0.6278538812785388,best_acc:0.6358447488584476
acc:0.6289954337899544,best_acc:0.6358447488584476
acc:0.6335616438356164,best_acc:0.6358447488584476
acc:0.6358447488584476,best_acc:0.6358447488584476
acc:0.6335616438356164,best_acc:0.6358447488584476
acc:0.6381278538812785,best_acc:0.6358447488584476
acc:0.6415525114155252,best_acc:0.6381278538812785
acc:0.6438356164383561,best_acc:0.6415525114155252
acc:0.6449771689497716,best_acc:0.6438356164383561
acc:0.6438356164383562,best_acc:0.6449771689497716
acc:0.6415525114155252,best_acc:0.6449771689497716
acc:0.6426940639269407,best_acc:0.6449771689497716
acc:0.6415525114155252,best_acc:0.6449771689497716
acc:0.6404109589041096,best_acc:0.6449771689497716
acc:0.6415525114155252,best_acc:0.6449771689497716
acc:0.6438356164383562,best_acc:0.6449771689497716
acc:0.6438356164383562,best_acc:0.6449771689497716
acc:0.6438356164383562,best_acc:0.6449771689497716
acc:0.6438356164383562,best_acc:0.6449771689497716
acc:0.6438356164383562,best_acc:0.6449771689497716
acc:0.6461187214611872,best_acc:0.6449771689497716
acc:0.6472602739726028,best_acc:0.6461187214611872
acc:0.6495433789954338,best_acc:0.6472602739726028
acc:0.6518264840182648,best_acc:0.6495433789954338
acc:0.6506849315068493,best_acc:0.6518264840182648
acc:0.6518264840182648,best_acc:0.6518264840182648
acc:0.6461187214611872,best_acc:0.6518264840182648
acc:0.6449771689497716,best_acc:0.6518264840182648
acc:0.6461187214611872,best_acc:0.6518264840182648
acc:0.6461187214611872,best_acc:0.6518264840182648
acc:0.6449771689497716,best_acc:0.6518264840182648
acc:0.6461187214611872,best_acc:0.6518264840182648
acc:0.6472602739726028,best_acc:0.6518264840182648
acc:0.6506849315068493,best_acc:0.6518264840182648
acc:0.6506849315068493,best_acc:0.6518264840182648
acc:0.6518264840182648,best_acc:0.6518264840182648
acc:0.6518264840182648,best_acc:0.6518264840182648
acc:0.6518264840182648,best_acc:0.6518264840182648
acc:0.6518264840182648,best_acc:0.6518264840182648
acc:0.6552511415525114,best_acc:0.6518264840182648
acc:0.6552511415525114,best_acc:0.6552511415525114
acc:0.654109589041096,best_acc:0.6552511415525114
acc:0.6529680365296804,best_acc:0.6552511415525114
acc:0.6518264840182648,best_acc:0.6552511415525114
acc:0.6506849315068494,best_acc:0.6552511415525114
acc:0.6484018264840183,best_acc:0.6552511415525114
acc:0.6484018264840183,best_acc:0.6552511415525114
acc:0.6484018264840183,best_acc:0.6552511415525114
TEST:  acc:0.6598173515981736
