acc:0.2282608695652174,best_acc:0
acc:0.25,best_acc:0.2282608695652174
acc:0.2857142857142857,best_acc:0.25
acc:0.3338509316770186,best_acc:0.2857142857142857
acc:0.3990683229813664,best_acc:0.3338509316770186
acc:0.45729813664596275,best_acc:0.3990683229813664
acc:0.48524844720496896,best_acc:0.45729813664596275
acc:0.49922360248447206,best_acc:0.48524844720496896
acc:0.4976708074534162,best_acc:0.49922360248447206
acc:0.4953416149068323,best_acc:0.49922360248447206
acc:0.5007763975155279,best_acc:0.49922360248447206
acc:0.5015527950310559,best_acc:0.5007763975155279
acc:0.5077639751552795,best_acc:0.5015527950310559
acc:0.5124223602484472,best_acc:0.5077639751552795
acc:0.5069875776397516,best_acc:0.5124223602484472
acc:0.5038819875776398,best_acc:0.5124223602484472
acc:0.5046583850931676,best_acc:0.5124223602484472
acc:0.5038819875776397,best_acc:0.5124223602484472
acc:0.5077639751552795,best_acc:0.5124223602484472
acc:0.5170807453416149,best_acc:0.5124223602484472
acc:0.5240683229813665,best_acc:0.5170807453416149
acc:0.5240683229813665,best_acc:0.5240683229813665
acc:0.5256211180124224,best_acc:0.5240683229813665
acc:0.5279503105590062,best_acc:0.5256211180124224
acc:0.5287267080745341,best_acc:0.5279503105590062
acc:0.5263975155279503,best_acc:0.5287267080745341
acc:0.5271739130434783,best_acc:0.5287267080745341
acc:0.5364906832298136,best_acc:0.5287267080745341
acc:0.5364906832298136,best_acc:0.5364906832298136
acc:0.5372670807453416,best_acc:0.5364906832298136
acc:0.5427018633540373,best_acc:0.5372670807453416
acc:0.5427018633540373,best_acc:0.5427018633540373
acc:0.5489130434782609,best_acc:0.5427018633540373
acc:0.5496894409937888,best_acc:0.5489130434782609
acc:0.5481366459627329,best_acc:0.5496894409937888
acc:0.5504658385093167,best_acc:0.5496894409937888
acc:0.5535714285714286,best_acc:0.5504658385093167
acc:0.5504658385093167,best_acc:0.5535714285714286
acc:0.5481366459627328,best_acc:0.5535714285714286
acc:0.5442546583850931,best_acc:0.5535714285714286
acc:0.5496894409937889,best_acc:0.5535714285714286
acc:0.547360248447205,best_acc:0.5535714285714286
acc:0.545807453416149,best_acc:0.5535714285714286
acc:0.5489130434782609,best_acc:0.5535714285714286
acc:0.5504658385093167,best_acc:0.5535714285714286
acc:0.5481366459627328,best_acc:0.5535714285714286
acc:0.545807453416149,best_acc:0.5535714285714286
acc:0.5395962732919255,best_acc:0.5535714285714286
acc:0.5403726708074534,best_acc:0.5535714285714286
acc:0.5419254658385093,best_acc:0.5535714285714286
acc:0.5465838509316769,best_acc:0.5535714285714286
acc:0.5442546583850931,best_acc:0.5535714285714286
acc:0.547360248447205,best_acc:0.5535714285714286
acc:0.5489130434782609,best_acc:0.5535714285714286
acc:0.5489130434782609,best_acc:0.5535714285714286
acc:0.5512422360248448,best_acc:0.5535714285714286
acc:0.5520186335403727,best_acc:0.5535714285714286
acc:0.5520186335403727,best_acc:0.5535714285714286
acc:0.5543478260869565,best_acc:0.5535714285714286
acc:0.5559006211180124,best_acc:0.5543478260869565
acc:0.5512422360248448,best_acc:0.5559006211180124
acc:0.5512422360248448,best_acc:0.5559006211180124
acc:0.5504658385093167,best_acc:0.5559006211180124
acc:0.5551242236024845,best_acc:0.5559006211180124
acc:0.5535714285714286,best_acc:0.5559006211180124
acc:0.5535714285714286,best_acc:0.5559006211180124
acc:0.5535714285714286,best_acc:0.5559006211180124
acc:0.5512422360248447,best_acc:0.5559006211180124
acc:0.5559006211180124,best_acc:0.5559006211180124
acc:0.5543478260869565,best_acc:0.5559006211180124
acc:0.5543478260869565,best_acc:0.5559006211180124
acc:0.5520186335403727,best_acc:0.5559006211180124
acc:0.5527950310559007,best_acc:0.5559006211180124
acc:0.5551242236024845,best_acc:0.5559006211180124
acc:0.5551242236024845,best_acc:0.5559006211180124
acc:0.5543478260869565,best_acc:0.5559006211180124
acc:0.5566770186335404,best_acc:0.5559006211180124
acc:0.5559006211180124,best_acc:0.5566770186335404
acc:0.5566770186335404,best_acc:0.5566770186335404
acc:0.5574534161490683,best_acc:0.5566770186335404
acc:0.5566770186335404,best_acc:0.5574534161490683
acc:0.5566770186335404,best_acc:0.5574534161490683
acc:0.5551242236024845,best_acc:0.5574534161490683
acc:0.5559006211180124,best_acc:0.5574534161490683
acc:0.5559006211180124,best_acc:0.5574534161490683
acc:0.5559006211180124,best_acc:0.5574534161490683
acc:0.5551242236024845,best_acc:0.5574534161490683
acc:0.5566770186335404,best_acc:0.5574534161490683
acc:0.5582298136645962,best_acc:0.5574534161490683
acc:0.5590062111801242,best_acc:0.5582298136645962
acc:0.5566770186335404,best_acc:0.5590062111801242
acc:0.5566770186335404,best_acc:0.5590062111801242
acc:0.5559006211180124,best_acc:0.5590062111801242
acc:0.5566770186335404,best_acc:0.5590062111801242
acc:0.5566770186335404,best_acc:0.5590062111801242
acc:0.5566770186335404,best_acc:0.5590062111801242
acc:0.5566770186335404,best_acc:0.5590062111801242
acc:0.5566770186335404,best_acc:0.5590062111801242
acc:0.5566770186335404,best_acc:0.5590062111801242
acc:0.5566770186335404,best_acc:0.5590062111801242
TEST:  acc:0.5854037267080745
