acc:0.17857142857142855,best_acc:0
acc:0.03493788819875776,best_acc:0.17857142857142855
acc:0.04425465838509317,best_acc:0.17857142857142855
acc:0.1234472049689441,best_acc:0.17857142857142855
acc:0.28183229813664595,best_acc:0.17857142857142855
acc:0.38742236024844723,best_acc:0.28183229813664595
acc:0.4262422360248447,best_acc:0.38742236024844723
acc:0.46739130434782605,best_acc:0.4262422360248447
acc:0.468944099378882,best_acc:0.46739130434782605
acc:0.4565217391304348,best_acc:0.468944099378882
acc:0.45962732919254656,best_acc:0.468944099378882
acc:0.4720496894409938,best_acc:0.468944099378882
acc:0.4704968944099379,best_acc:0.4720496894409938
acc:0.47670807453416153,best_acc:0.4720496894409938
acc:0.48136645962732916,best_acc:0.47670807453416153
acc:0.484472049689441,best_acc:0.48136645962732916
acc:0.4891304347826087,best_acc:0.484472049689441
acc:0.4922360248447205,best_acc:0.4891304347826087
acc:0.4937888198757764,best_acc:0.4922360248447205
acc:0.4961180124223602,best_acc:0.4937888198757764
acc:0.49689440993788825,best_acc:0.4961180124223602
acc:0.5100931677018634,best_acc:0.49689440993788825
acc:0.5085403726708075,best_acc:0.5100931677018634
acc:0.5131987577639752,best_acc:0.5100931677018634
acc:0.5170807453416149,best_acc:0.5131987577639752
acc:0.5194099378881987,best_acc:0.5170807453416149
acc:0.5186335403726707,best_acc:0.5194099378881987
acc:0.515527950310559,best_acc:0.5194099378881987
acc:0.514751552795031,best_acc:0.5194099378881987
acc:0.5131987577639752,best_acc:0.5194099378881987
acc:0.5163043478260869,best_acc:0.5194099378881987
acc:0.5217391304347826,best_acc:0.5194099378881987
acc:0.5240683229813665,best_acc:0.5217391304347826
acc:0.5248447204968945,best_acc:0.5240683229813665
acc:0.5186335403726708,best_acc:0.5248447204968945
acc:0.5186335403726707,best_acc:0.5248447204968945
acc:0.517080745341615,best_acc:0.5248447204968945
acc:0.5170807453416149,best_acc:0.5248447204968945
acc:0.5349378881987578,best_acc:0.5248447204968945
acc:0.5357142857142857,best_acc:0.5349378881987578
acc:0.5357142857142857,best_acc:0.5357142857142857
acc:0.532608695652174,best_acc:0.5357142857142857
acc:0.53027950310559,best_acc:0.5357142857142857
acc:0.5295031055900621,best_acc:0.5357142857142857
acc:0.5248447204968945,best_acc:0.5357142857142857
acc:0.5287267080745341,best_acc:0.5357142857142857
acc:0.5279503105590062,best_acc:0.5357142857142857
acc:0.5364906832298137,best_acc:0.5357142857142857
acc:0.5427018633540373,best_acc:0.5364906832298137
acc:0.5442546583850931,best_acc:0.5427018633540373
acc:0.5434782608695652,best_acc:0.5442546583850931
acc:0.5427018633540373,best_acc:0.5442546583850931
acc:0.5427018633540373,best_acc:0.5442546583850931
acc:0.5434782608695652,best_acc:0.5442546583850931
acc:0.545807453416149,best_acc:0.5442546583850931
acc:0.5427018633540373,best_acc:0.545807453416149
acc:0.5450310559006211,best_acc:0.545807453416149
acc:0.5450310559006211,best_acc:0.545807453416149
acc:0.547360248447205,best_acc:0.545807453416149
acc:0.5411490683229814,best_acc:0.547360248447205
acc:0.5442546583850931,best_acc:0.547360248447205
acc:0.5496894409937888,best_acc:0.547360248447205
acc:0.5527950310559007,best_acc:0.5496894409937888
acc:0.5543478260869565,best_acc:0.5527950310559007
acc:0.5504658385093169,best_acc:0.5543478260869565
acc:0.5520186335403727,best_acc:0.5543478260869565
acc:0.5496894409937888,best_acc:0.5543478260869565
acc:0.5489130434782609,best_acc:0.5543478260869565
acc:0.545807453416149,best_acc:0.5543478260869565
acc:0.5442546583850931,best_acc:0.5543478260869565
acc:0.5473602484472049,best_acc:0.5543478260869565
acc:0.5496894409937888,best_acc:0.5543478260869565
acc:0.5496894409937888,best_acc:0.5543478260869565
acc:0.5504658385093169,best_acc:0.5543478260869565
acc:0.5520186335403727,best_acc:0.5543478260869565
acc:0.5543478260869565,best_acc:0.5543478260869565
acc:0.5520186335403727,best_acc:0.5543478260869565
acc:0.5543478260869565,best_acc:0.5543478260869565
acc:0.5527950310559007,best_acc:0.5543478260869565
acc:0.5504658385093169,best_acc:0.5543478260869565
acc:0.5520186335403727,best_acc:0.5543478260869565
acc:0.5543478260869565,best_acc:0.5543478260869565
acc:0.5551242236024845,best_acc:0.5543478260869565
acc:0.5543478260869565,best_acc:0.5551242236024845
acc:0.5512422360248448,best_acc:0.5551242236024845
acc:0.5559006211180124,best_acc:0.5551242236024845
acc:0.5551242236024845,best_acc:0.5559006211180124
acc:0.5543478260869565,best_acc:0.5559006211180124
acc:0.5543478260869565,best_acc:0.5559006211180124
acc:0.5543478260869565,best_acc:0.5559006211180124
acc:0.5559006211180124,best_acc:0.5559006211180124
acc:0.5543478260869565,best_acc:0.5559006211180124
acc:0.5543478260869565,best_acc:0.5559006211180124
acc:0.5543478260869565,best_acc:0.5559006211180124
acc:0.5543478260869565,best_acc:0.5559006211180124
acc:0.5543478260869565,best_acc:0.5559006211180124
acc:0.5543478260869565,best_acc:0.5559006211180124
acc:0.5543478260869565,best_acc:0.5559006211180124
acc:0.5543478260869565,best_acc:0.5559006211180124
acc:0.5543478260869565,best_acc:0.5559006211180124
TEST:  acc:0.5543478260869565
