acc:0.40224719101123596,best_acc:0
acc:0.4224719101123595,best_acc:0.40224719101123596
acc:0.41348314606741576,best_acc:0.4224719101123595
acc:0.35842696629213483,best_acc:0.4224719101123595
acc:0.35842696629213483,best_acc:0.4224719101123595
acc:0.298876404494382,best_acc:0.4224719101123595
acc:0.298876404494382,best_acc:0.4224719101123595
acc:0.24269662921348314,best_acc:0.4224719101123595
acc:0.24269662921348314,best_acc:0.4224719101123595
acc:0.2337078651685393,best_acc:0.4224719101123595
acc:0.2606741573033708,best_acc:0.4224719101123595
acc:0.30674157303370786,best_acc:0.4224719101123595
acc:0.30674157303370786,best_acc:0.4224719101123595
acc:0.36853932584269666,best_acc:0.4224719101123595
acc:0.36853932584269666,best_acc:0.4224719101123595
acc:0.36853932584269666,best_acc:0.4224719101123595
acc:0.42696629213483145,best_acc:0.4224719101123595
acc:0.4808988764044944,best_acc:0.42696629213483145
acc:0.4808988764044944,best_acc:0.4808988764044944
acc:0.5123595505617977,best_acc:0.4808988764044944
acc:0.5258426966292135,best_acc:0.5123595505617977
acc:0.5550561797752809,best_acc:0.5258426966292135
acc:0.5775280898876405,best_acc:0.5550561797752809
acc:0.597752808988764,best_acc:0.5775280898876405
acc:0.6067415730337079,best_acc:0.597752808988764
acc:0.6213483146067416,best_acc:0.6067415730337079
acc:0.6337078651685393,best_acc:0.6213483146067416
acc:0.651685393258427,best_acc:0.6337078651685393
acc:0.6606741573033708,best_acc:0.651685393258427
acc:0.6786516853932585,best_acc:0.6606741573033708
acc:0.6943820224719102,best_acc:0.6786516853932585
acc:0.701123595505618,best_acc:0.6943820224719102
acc:0.7112359550561798,best_acc:0.701123595505618
acc:0.7134831460674158,best_acc:0.7112359550561798
acc:0.7191011235955056,best_acc:0.7134831460674158
acc:0.7191011235955056,best_acc:0.7191011235955056
acc:0.7191011235955056,best_acc:0.7191011235955056
acc:0.7179775280898877,best_acc:0.7191011235955056
acc:0.7258426966292135,best_acc:0.7191011235955056
acc:0.7269662921348314,best_acc:0.7258426966292135
acc:0.7303370786516854,best_acc:0.7269662921348314
acc:0.7382022471910112,best_acc:0.7303370786516854
acc:0.7359550561797753,best_acc:0.7382022471910112
acc:0.7382022471910112,best_acc:0.7382022471910112
acc:0.7404494382022473,best_acc:0.7382022471910112
acc:0.7404494382022473,best_acc:0.7404494382022473
acc:0.7393258426966292,best_acc:0.7404494382022473
acc:0.7382022471910112,best_acc:0.7404494382022473
acc:0.7404494382022472,best_acc:0.7404494382022473
acc:0.7471910112359551,best_acc:0.7404494382022473
acc:0.7539325842696629,best_acc:0.7471910112359551
acc:0.7550561797752808,best_acc:0.7539325842696629
acc:0.7617977528089888,best_acc:0.7550561797752808
acc:0.7685393258426967,best_acc:0.7617977528089888
acc:0.7662921348314606,best_acc:0.7685393258426967
acc:0.7685393258426967,best_acc:0.7685393258426967
acc:0.7719101123595506,best_acc:0.7685393258426967
acc:0.7707865168539326,best_acc:0.7719101123595506
acc:0.7685393258426967,best_acc:0.7719101123595506
acc:0.7674157303370787,best_acc:0.7719101123595506
acc:0.7730337078651686,best_acc:0.7719101123595506
acc:0.7707865168539325,best_acc:0.7730337078651686
acc:0.7707865168539325,best_acc:0.7730337078651686
acc:0.7662921348314606,best_acc:0.7730337078651686
acc:0.7640449438202247,best_acc:0.7730337078651686
acc:0.7629213483146067,best_acc:0.7730337078651686
acc:0.7640449438202247,best_acc:0.7730337078651686
acc:0.7629213483146067,best_acc:0.7730337078651686
acc:0.7617977528089888,best_acc:0.7730337078651686
acc:0.7606741573033708,best_acc:0.7730337078651686
acc:0.7617977528089888,best_acc:0.7730337078651686
acc:0.7651685393258427,best_acc:0.7730337078651686
acc:0.7640449438202247,best_acc:0.7730337078651686
acc:0.7651685393258427,best_acc:0.7730337078651686
acc:0.7651685393258427,best_acc:0.7730337078651686
acc:0.7674157303370787,best_acc:0.7730337078651686
acc:0.7696629213483146,best_acc:0.7730337078651686
acc:0.7696629213483146,best_acc:0.7730337078651686
acc:0.7685393258426967,best_acc:0.7730337078651686
acc:0.7696629213483146,best_acc:0.7730337078651686
acc:0.7685393258426967,best_acc:0.7730337078651686
acc:0.7674157303370785,best_acc:0.7730337078651686
acc:0.7685393258426967,best_acc:0.7730337078651686
acc:0.7685393258426967,best_acc:0.7730337078651686
acc:0.7707865168539325,best_acc:0.7730337078651686
acc:0.7707865168539325,best_acc:0.7730337078651686
acc:0.7730337078651686,best_acc:0.7730337078651686
acc:0.7719101123595505,best_acc:0.7730337078651686
acc:0.7730337078651686,best_acc:0.7730337078651686
acc:0.7730337078651686,best_acc:0.7730337078651686
acc:0.7730337078651686,best_acc:0.7730337078651686
acc:0.7719101123595506,best_acc:0.7730337078651686
acc:0.7719101123595506,best_acc:0.7730337078651686
acc:0.7719101123595506,best_acc:0.7730337078651686
acc:0.7719101123595506,best_acc:0.7730337078651686
acc:0.7719101123595506,best_acc:0.7730337078651686
acc:0.7719101123595506,best_acc:0.7730337078651686
acc:0.7719101123595506,best_acc:0.7730337078651686
acc:0.7719101123595506,best_acc:0.7730337078651686
acc:0.7730337078651686,best_acc:0.7730337078651686
TEST:  acc:0.7101123595505618
