acc:0.2602739726027397,best_acc:0
acc:0.1906392694063927,best_acc:0.2602739726027397
acc:0.06050228310502283,best_acc:0.2602739726027397
acc:0.04908675799086758,best_acc:0.2602739726027397
acc:0.05365296803652968,best_acc:0.2602739726027397
acc:0.0730593607305936,best_acc:0.2602739726027397
acc:0.09018264840182648,best_acc:0.2602739726027397
acc:0.11187214611872145,best_acc:0.2602739726027397
acc:0.15639269406392692,best_acc:0.2602739726027397
acc:0.20319634703196346,best_acc:0.2602739726027397
acc:0.2488584474885845,best_acc:0.2602739726027397
acc:0.2876712328767123,best_acc:0.2602739726027397
acc:0.2876712328767123,best_acc:0.2876712328767123
acc:0.2876712328767123,best_acc:0.2876712328767123
acc:0.2865296803652968,best_acc:0.2876712328767123
acc:0.2899543378995434,best_acc:0.2876712328767123
acc:0.3047945205479452,best_acc:0.2899543378995434
acc:0.317351598173516,best_acc:0.3047945205479452
acc:0.34018264840182644,best_acc:0.317351598173516
acc:0.365296803652968,best_acc:0.34018264840182644
acc:0.3835616438356164,best_acc:0.365296803652968
acc:0.4006849315068493,best_acc:0.3835616438356164
acc:0.408675799086758,best_acc:0.4006849315068493
acc:0.40753424657534243,best_acc:0.408675799086758
acc:0.4200913242009132,best_acc:0.408675799086758
acc:0.4406392694063927,best_acc:0.4200913242009132
acc:0.4657534246575342,best_acc:0.4406392694063927
acc:0.4817351598173516,best_acc:0.4657534246575342
acc:0.5,best_acc:0.4817351598173516
acc:0.523972602739726,best_acc:0.5
acc:0.5388127853881279,best_acc:0.523972602739726
acc:0.5422374429223744,best_acc:0.5388127853881279
acc:0.5445205479452055,best_acc:0.5422374429223744
acc:0.5525114155251142,best_acc:0.5445205479452055
acc:0.5559360730593608,best_acc:0.5525114155251142
acc:0.5593607305936072,best_acc:0.5559360730593608
acc:0.5662100456621004,best_acc:0.5593607305936072
acc:0.5696347031963471,best_acc:0.5662100456621004
acc:0.5684931506849316,best_acc:0.5696347031963471
acc:0.5662100456621004,best_acc:0.5696347031963471
acc:0.5662100456621004,best_acc:0.5696347031963471
acc:0.5616438356164384,best_acc:0.5696347031963471
acc:0.5582191780821918,best_acc:0.5696347031963471
acc:0.5605022831050228,best_acc:0.5696347031963471
acc:0.5559360730593608,best_acc:0.5696347031963471
acc:0.5582191780821918,best_acc:0.5696347031963471
acc:0.5525114155251142,best_acc:0.5696347031963471
acc:0.5513698630136987,best_acc:0.5696347031963471
acc:0.5502283105022832,best_acc:0.5696347031963471
acc:0.545662100456621,best_acc:0.5696347031963471
acc:0.5445205479452055,best_acc:0.5696347031963471
acc:0.547945205479452,best_acc:0.5696347031963471
acc:0.54337899543379,best_acc:0.5696347031963471
acc:0.54337899543379,best_acc:0.5696347031963471
TEST:  acc:0.5502283105022832
