acc:0.3002283105022831,best_acc:0
acc:0.3881278538812785,best_acc:0.3002283105022831
acc:0.4132420091324201,best_acc:0.3881278538812785
acc:0.37671232876712324,best_acc:0.4132420091324201
acc:0.4132420091324201,best_acc:0.4132420091324201
acc:0.4132420091324201,best_acc:0.4132420091324201
acc:0.4280821917808219,best_acc:0.4132420091324201
acc:0.4486301369863014,best_acc:0.4280821917808219
acc:0.4680365296803653,best_acc:0.4486301369863014
acc:0.4965753424657534,best_acc:0.4680365296803653
acc:0.5205479452054795,best_acc:0.4965753424657534
acc:0.5308219178082192,best_acc:0.5205479452054795
acc:0.547945205479452,best_acc:0.5308219178082192
acc:0.5570776255707763,best_acc:0.547945205479452
acc:0.5605022831050228,best_acc:0.5570776255707763
acc:0.5764840182648402,best_acc:0.5605022831050228
acc:0.5821917808219178,best_acc:0.5764840182648402
acc:0.591324200913242,best_acc:0.5821917808219178
acc:0.595890410958904,best_acc:0.591324200913242
acc:0.5970319634703196,best_acc:0.595890410958904
acc:0.5993150684931507,best_acc:0.5970319634703196
acc:0.6038812785388128,best_acc:0.5993150684931507
acc:0.6027397260273972,best_acc:0.6038812785388128
acc:0.6084474885844748,best_acc:0.6038812785388128
acc:0.6141552511415524,best_acc:0.6084474885844748
acc:0.6187214611872147,best_acc:0.6141552511415524
acc:0.6198630136986302,best_acc:0.6187214611872147
acc:0.6267123287671232,best_acc:0.6198630136986302
acc:0.6267123287671232,best_acc:0.6267123287671232
acc:0.6255707762557078,best_acc:0.6267123287671232
acc:0.6267123287671232,best_acc:0.6267123287671232
acc:0.6255707762557078,best_acc:0.6267123287671232
acc:0.6267123287671232,best_acc:0.6267123287671232
acc:0.6255707762557078,best_acc:0.6267123287671232
acc:0.6278538812785388,best_acc:0.6267123287671232
acc:0.634703196347032,best_acc:0.6278538812785388
acc:0.6404109589041096,best_acc:0.634703196347032
acc:0.6415525114155252,best_acc:0.6404109589041096
acc:0.6426940639269407,best_acc:0.6415525114155252
acc:0.6484018264840183,best_acc:0.6426940639269407
acc:0.654109589041096,best_acc:0.6484018264840183
acc:0.6484018264840183,best_acc:0.654109589041096
acc:0.6426940639269407,best_acc:0.654109589041096
acc:0.6438356164383562,best_acc:0.654109589041096
acc:0.6438356164383562,best_acc:0.654109589041096
acc:0.6415525114155252,best_acc:0.654109589041096
acc:0.6426940639269406,best_acc:0.654109589041096
acc:0.6415525114155252,best_acc:0.654109589041096
acc:0.6461187214611872,best_acc:0.654109589041096
acc:0.6472602739726028,best_acc:0.654109589041096
acc:0.6461187214611872,best_acc:0.654109589041096
acc:0.6426940639269407,best_acc:0.654109589041096
acc:0.639269406392694,best_acc:0.654109589041096
acc:0.639269406392694,best_acc:0.654109589041096
acc:0.639269406392694,best_acc:0.654109589041096
acc:0.6404109589041096,best_acc:0.654109589041096
acc:0.6404109589041096,best_acc:0.654109589041096
acc:0.6426940639269407,best_acc:0.654109589041096
acc:0.6449771689497716,best_acc:0.654109589041096
acc:0.6461187214611872,best_acc:0.654109589041096
acc:0.6484018264840183,best_acc:0.654109589041096
acc:0.6518264840182648,best_acc:0.654109589041096
acc:0.6529680365296804,best_acc:0.654109589041096
acc:0.6518264840182648,best_acc:0.654109589041096
acc:0.6518264840182648,best_acc:0.654109589041096
acc:0.6518264840182648,best_acc:0.654109589041096
acc:0.6529680365296804,best_acc:0.654109589041096
acc:0.654109589041096,best_acc:0.654109589041096
acc:0.6575342465753424,best_acc:0.654109589041096
acc:0.6552511415525115,best_acc:0.6575342465753424
acc:0.6575342465753424,best_acc:0.6575342465753424
acc:0.6552511415525114,best_acc:0.6575342465753424
acc:0.658675799086758,best_acc:0.6575342465753424
acc:0.658675799086758,best_acc:0.658675799086758
acc:0.658675799086758,best_acc:0.658675799086758
acc:0.658675799086758,best_acc:0.658675799086758
acc:0.6598173515981736,best_acc:0.658675799086758
acc:0.6575342465753424,best_acc:0.6598173515981736
acc:0.6575342465753424,best_acc:0.6598173515981736
acc:0.6552511415525114,best_acc:0.6598173515981736
acc:0.656392694063927,best_acc:0.6598173515981736
acc:0.654109589041096,best_acc:0.6598173515981736
acc:0.6552511415525114,best_acc:0.6598173515981736
acc:0.6552511415525114,best_acc:0.6598173515981736
acc:0.654109589041096,best_acc:0.6598173515981736
acc:0.654109589041096,best_acc:0.6598173515981736
acc:0.6529680365296804,best_acc:0.6598173515981736
acc:0.654109589041096,best_acc:0.6598173515981736
acc:0.6552511415525114,best_acc:0.6598173515981736
acc:0.6552511415525114,best_acc:0.6598173515981736
acc:0.6529680365296804,best_acc:0.6598173515981736
acc:0.6529680365296804,best_acc:0.6598173515981736
acc:0.6518264840182648,best_acc:0.6598173515981736
acc:0.6529680365296804,best_acc:0.6598173515981736
acc:0.6518264840182648,best_acc:0.6598173515981736
acc:0.6529680365296804,best_acc:0.6598173515981736
acc:0.6529680365296804,best_acc:0.6598173515981736
acc:0.654109589041096,best_acc:0.6598173515981736
acc:0.6529680365296804,best_acc:0.6598173515981736
acc:0.6529680365296804,best_acc:0.6598173515981736
TEST:  acc:0.6735159817351598
