acc:0.27625570776255703,best_acc:0
acc:0.3299086757990868,best_acc:0.27625570776255703
acc:0.384703196347032,best_acc:0.3299086757990868
acc:0.386986301369863,best_acc:0.384703196347032
acc:0.3504566210045662,best_acc:0.386986301369863
acc:0.343607305936073,best_acc:0.386986301369863
acc:0.343607305936073,best_acc:0.386986301369863
acc:0.3573059360730594,best_acc:0.386986301369863
acc:0.3995433789954338,best_acc:0.386986301369863
acc:0.43150684931506844,best_acc:0.3995433789954338
acc:0.4429223744292237,best_acc:0.43150684931506844
acc:0.45662100456621,best_acc:0.4429223744292237
acc:0.47146118721461183,best_acc:0.45662100456621
acc:0.4965753424657534,best_acc:0.47146118721461183
acc:0.5125570776255708,best_acc:0.4965753424657534
acc:0.5228310502283104,best_acc:0.5125570776255708
acc:0.5296803652968036,best_acc:0.5228310502283104
acc:0.5353881278538812,best_acc:0.5296803652968036
acc:0.5410958904109588,best_acc:0.5353881278538812
acc:0.5388127853881279,best_acc:0.5410958904109588
acc:0.5422374429223744,best_acc:0.5410958904109588
acc:0.5410958904109588,best_acc:0.5422374429223744
acc:0.5410958904109588,best_acc:0.5422374429223744
acc:0.54337899543379,best_acc:0.5422374429223744
acc:0.54337899543379,best_acc:0.54337899543379
acc:0.5445205479452055,best_acc:0.54337899543379
acc:0.5422374429223744,best_acc:0.5445205479452055
acc:0.5456621004566211,best_acc:0.5445205479452055
acc:0.5525114155251142,best_acc:0.5456621004566211
acc:0.5490867579908676,best_acc:0.5525114155251142
acc:0.5502283105022832,best_acc:0.5525114155251142
acc:0.5468036529680365,best_acc:0.5525114155251142
acc:0.5468036529680365,best_acc:0.5525114155251142
acc:0.5468036529680365,best_acc:0.5525114155251142
acc:0.5445205479452055,best_acc:0.5525114155251142
acc:0.545662100456621,best_acc:0.5525114155251142
acc:0.547945205479452,best_acc:0.5525114155251142
acc:0.5547945205479452,best_acc:0.5525114155251142
acc:0.5582191780821918,best_acc:0.5547945205479452
acc:0.5593607305936072,best_acc:0.5582191780821918
acc:0.5605022831050228,best_acc:0.5593607305936072
acc:0.5559360730593608,best_acc:0.5605022831050228
acc:0.5570776255707763,best_acc:0.5605022831050228
acc:0.562785388127854,best_acc:0.5605022831050228
acc:0.562785388127854,best_acc:0.562785388127854
acc:0.569634703196347,best_acc:0.562785388127854
acc:0.5707762557077625,best_acc:0.569634703196347
acc:0.571917808219178,best_acc:0.5707762557077625
acc:0.5696347031963471,best_acc:0.571917808219178
acc:0.567351598173516,best_acc:0.571917808219178
acc:0.567351598173516,best_acc:0.571917808219178
acc:0.5639269406392694,best_acc:0.571917808219178
acc:0.5639269406392694,best_acc:0.571917808219178
acc:0.5605022831050228,best_acc:0.571917808219178
acc:0.5605022831050228,best_acc:0.571917808219178
acc:0.5582191780821918,best_acc:0.571917808219178
acc:0.5582191780821918,best_acc:0.571917808219178
acc:0.5582191780821918,best_acc:0.571917808219178
acc:0.5605022831050228,best_acc:0.571917808219178
acc:0.562785388127854,best_acc:0.571917808219178
acc:0.565068493150685,best_acc:0.571917808219178
acc:0.5707762557077626,best_acc:0.571917808219178
acc:0.5764840182648402,best_acc:0.571917808219178
acc:0.5764840182648402,best_acc:0.5764840182648402
acc:0.5764840182648402,best_acc:0.5764840182648402
acc:0.5753424657534247,best_acc:0.5764840182648402
acc:0.5753424657534247,best_acc:0.5764840182648402
acc:0.5799086757990868,best_acc:0.5764840182648402
acc:0.5821917808219179,best_acc:0.5799086757990868
acc:0.5799086757990868,best_acc:0.5821917808219179
acc:0.5856164383561644,best_acc:0.5821917808219179
acc:0.5878995433789954,best_acc:0.5856164383561644
acc:0.5856164383561644,best_acc:0.5878995433789954
acc:0.5833333333333334,best_acc:0.5878995433789954
acc:0.5844748858447488,best_acc:0.5878995433789954
acc:0.5833333333333333,best_acc:0.5878995433789954
acc:0.5844748858447488,best_acc:0.5878995433789954
acc:0.5833333333333334,best_acc:0.5878995433789954
acc:0.5833333333333334,best_acc:0.5878995433789954
acc:0.5833333333333333,best_acc:0.5878995433789954
acc:0.5844748858447488,best_acc:0.5878995433789954
acc:0.5844748858447488,best_acc:0.5878995433789954
acc:0.5821917808219178,best_acc:0.5878995433789954
acc:0.5833333333333334,best_acc:0.5878995433789954
acc:0.5856164383561644,best_acc:0.5878995433789954
acc:0.5878995433789954,best_acc:0.5878995433789954
acc:0.5856164383561644,best_acc:0.5878995433789954
acc:0.5844748858447488,best_acc:0.5878995433789954
acc:0.5878995433789955,best_acc:0.5878995433789954
acc:0.5856164383561644,best_acc:0.5878995433789955
acc:0.58675799086758,best_acc:0.5878995433789955
acc:0.58675799086758,best_acc:0.5878995433789955
acc:0.5878995433789954,best_acc:0.5878995433789955
acc:0.589041095890411,best_acc:0.5878995433789955
acc:0.5878995433789954,best_acc:0.589041095890411
acc:0.5878995433789954,best_acc:0.589041095890411
acc:0.5878995433789954,best_acc:0.589041095890411
acc:0.5878995433789954,best_acc:0.589041095890411
acc:0.589041095890411,best_acc:0.589041095890411
acc:0.589041095890411,best_acc:0.589041095890411
TEST:  acc:0.5981735159817352
